long,lat,nro_registro,tipo_activ,comuna,manzana,calle_nombre,calle_altura,calle_chapa,direccion_normalizada,ubicacion,nombre_cientifico,ancho_acera,estado_plantera,ubicacion_plantera,nivel_plantera,diametro_altura_pecho,altura_arbol
-58.4068882759216,-34.5770697937892,82584,Lineal,14,NA,Cavia,3000.0,3013,CAVIA 3013,Exacta,Platanus x acerifolia,2.8,Ocupada,Regular,Bajo nivel,61,19
-58.4067358488797,-34.5768888910174,82585,Lineal,14,NA,Cavia,3000.0,3035,CAVIA 3035,Exacta,Platanus x acerifolia,2.8,Ocupada,Regular,A nivel,71,29
-58.40647448759751,-34.5765960778878,82586,Lineal,14,NA,Cavia,3000.0,3063,CAVIA 3063,LD,Fraxinus pennsylvanica,2.8,Ocupada,Regular,Elevada,19,9
-58.4067358494651,-34.5768888794701,82587,Lineal,14,NA,Cavia,3000.0,3017,CAVIA 3017,Exacta,Platanus x acerifolia,2.8,Ocupada,Regular,A nivel,57,19
-58.4068384029784,-34.5772631548921,82588,Lineal,14,NA,Castex,3400.0,3485,CASTEX 3485,Exacta,Fraxinus pennsylvanica,3,Ocupada,Regular,A nivel,53,15
-58.4067358488797,-34.5768888910174,82589,Lineal,14,NA,Cavia,3000.0,3033,CAVIA 3033,Exacta,Platanus x acerifolia,2.8,Ocupada,Regular,A nivel,51,20
-58.4056322701344,-34.5764615683062,82590,Lineal,14,NA,Gelly,3400.0,3454,GELLY 3454,Exacta,Fraxinus pennsylvanica,2.8,Ocupada,Regular,Bajo nivel,19,17
-58.4060838714472,-34.577712723116,82591,Lineal,14,NA,Castex,3400.0,3401,CASTEX 3401,Exacta,Fraxinus pennsylvanica,3,Ocupada,Ochava,A nivel,19,9
-58.4062685669697,-34.5776044809145,82592,Lineal,14,NA,Castex,3400.0,3425,CASTEX 3425,Exacta,Fraxinus pennsylvanica,3,Ocupada,Regular,A nivel,38,14
-58.40633987321011,-34.5775617695007,82593,Lineal,14,NA,Castex,3400.0,3435,CASTEX 3435,Exacta,Fraxinus excelsior,3,Ocupada,Regular,Elevada,16,8
-58.4066580994425,-34.577371155489104,82595,Lineal,14,NA,Castex,3400.0,3475,CASTEX 3475,Exacta,Fraxinus pennsylvanica,3,Ocupada,Regular,A nivel,15,10
-58.4064111793667,-34.577519058045,82596,Lineal,14,NA,Castex,3400.0,3439,CASTEX 3439,Exacta,Liquidambar styraciflua,3,Ocupada,Regular,Bajo nivel,12,7
-58.4064111793667,-34.577519058045,82597,Lineal,14,NA,Castex,3400.0,3437,CASTEX 3437,Exacta,Ficus benjamina,3,Sobreocupada,Regular,A nivel,8,3
-58.4064111793667,-34.577519058045,82598,Lineal,14,NA,Castex,3400.0,3437,CASTEX 3437,Exacta,Ficus benjamina,3,Sobreocupada,Regular,A nivel,8,4
